Ngành nghề,STT,Chủ đề gợi ý,Mục tiêu nội dung (Câu gốc tiếng Việt hướng tới),Ví dụ 
Y TẾ (HEALTHCARE),1,Hospital Basics,"Giới thiệu tên, khoa đang công tác, các bộ phận trong bệnh viện.",
,2,Body & Symptoms,"Mô tả các bộ phận cơ thể và triệu chứng đơn giản (đau đầu, sốt).",
,3,Medical History,"Hỏi và ghi chép tiền sử bệnh lý, các loại thuốc bệnh nhân đã dùng.",
,4,Diagnosis,"Giải thích tình trạng bệnh, so sánh các phương pháp xét nghiệm.",
,5,Treatment Plan,"Thảo luận phác đồ điều trị, lập luận về lợi ích/tác dụng phụ của thuốc.",
,6,Medical Research,"Phân tích các nghiên cứu lâm sàng, đánh giá rủi ro của ca phẫu thuật.",
,7,Ethics & Empathy,Thông báo tin buồn hoặc giải quyết các tình huống đạo đức nghề nghiệp.,
NHÂN SỰ ( HUMAN RESOURCES),1,Job Titles,Giới thiệu về các phòng ban và chức danh trong công ty.,
,2,Recruitment Process,"Mô tả các bước tuyển dụng, các phúc lợi cơ bản (lương, thưởng).",
,3,Interviewing,"Kể lại buổi phỏng vấn ứng viên, mô tả ấn tượng về ứng viên.",
,4,Job Descriptions,"Giải thích các yêu cầu công việc, so sánh năng lực các ứng viên.",
,5,Employee Relations,"Thảo luận về chính sách giữ chân nhân tài, lập luận về văn hóa số.",
,6,Labor Law & Policy,"Phân tích các rủi ro pháp lý, đánh giá hệ thống KPI/OKRs.",
,7,Organizational Change,"Điều phối các cuộc thay đổi nhân sự lớn, diễn đạt tâm lý nhân sự.",
DỊCH VỤ (HOSPITALITY),1,Welcoming,"Chào hỏi khách, hỏi tên và thông tin đặt chỗ đơn giản.",
,2,Services & Facilities,"Mô tả các dịch vụ đi kèm (wifi, ăn sáng, phòng tập gym).",
,3,Customer Requests,Kể lại yêu cầu đặc biệt của khách và cách bạn đã thực hiện.,
,4,Handling Complaints,Giải thích lý do sự cố và đưa ra các lựa chọn đền bù cho khách.,
,5,Service Quality,"Thảo luận cách cải thiện dịch vụ, lập luận về trải nghiệm khách hàng.",
,6,Crisis Management,"Phân tích các sự cố nghiêm trọng, đánh giá mức độ hài lòng (CSAT).",
,7,VIP Relations,"Giao tiếp cực kỳ tinh tế với khách hàng cao cấp, dùng từ ngữ sang trọng.",
CÔNG NGHỆ (IT),1,Tech Roles,"Giới thiệu vị trí (Dev, Tester, BA) và dự án đang tham gia.",
,2,Hardware & Software,"Mô tả lỗi máy tính, giao diện phần mềm hoặc công cụ đang dùng.",
,3,Bug Reporting,"Kể lại quá trình phát hiện lỗi, các bước tái hiện (reproduce) lỗi.",
,4,Technical Explanation,"Giải thích luồng dữ liệu (logic), so sánh giữa 2 thư viện/framework.",
,5,System Architecture,"Thảo luận về cấu trúc hệ thống, lập luận chọn Cloud hay On-premise.",
,6,Tech Strategy,"Phân tích nợ kỹ thuật (Technical debt), đánh giá bảo mật hệ thống.",
,7,Tech Vision,"Diễn đạt tự nhiên về xu hướng AI, Blockchain bằng ngôn ngữ chuyên gia.",
TÀI CHÍNH (FINANCE),1,Basic Finance,"Nói về các loại tiền tệ, ngân hàng và các con số cơ bản.",
,2,Expenses & Income,"Mô tả các khoản chi tiêu, thu nhập và hóa đơn đơn giản.",
,3,Financial Report,Tóm tắt tình hình tài chính của tháng trước hoặc quý trước.,
,4,Comparison & Budget,"So sánh ngân sách giữa các phòng ban, giải thích sự chênh lệch.",
,5,Investment Analysis,"Thảo luận về danh mục đầu tư, lập luận về tính khả thi của dự án.",
,6,Market Volatility,"Phân tích biến động thị trường, đánh giá tác động của lãi suất.",
,7,Strategic Finance,"Đàm phán sáp nhập, diễn đạt các thuật ngữ tài chính phức tạp tự nhiên.",